baseMean log2FoldChange lfcSE stat pvalue padj
ENSG00000007520 279.412538055728 0.0137781341919355 0.146598867383363 0.093985270403932 0.925120857454689 0.999951245800057
ENSG00000007541 504.324118319994 -0.0223115883135195 0.107092442404823 -0.208339522495705 0.834963874137108 0.999951245800057
ENSG00000007545 398.762820632378 -0.00776474263454752 0.108869918638338 -0.0713212862805724 0.943142054365209 0.999951245800057
ENSG00000007866 22.0313283142029 0.279934875118975 0.314226822816195 0.890868808111654 0.372999555759748 0.999951245800057
ENSG00000007923 778.685903922608 -0.012831983900659 0.0773413949768574 -0.165913530580857 0.868224999213377 0.999951245800057
ENSG00000007944 260.222785569775 -0.0999896826290648 0.110811375722359 -0.902341316288606 0.366875584203404 0.999951245800057
ENSG00000008018 521.751274667276 0.0210454755962232 0.0987058855081849 0.21321398909367 0.831160057413567 0.999951245800057
ENSG00000008056 1434.34254330617 -0.0205056905809429 0.112654456128648 -0.182022898033666 0.855564756046434 0.999951245800057
ENSG00000008083 1058.19208684261 0.00796594792272887 0.090314695454659 0.0882021235041206 0.929716029584904 0.999951245800057
ENSG00000008086 1376.18333306747 0.0953717601385062 0.0873614449302811 1.09169165201672 0.27496865570427 0.999951245800057
ENSG00000008118 101.547175260273 0.102627636301013 0.202874975024528 0.505866414961259 0.612950430706569 0.999951245800057
ENSG00000008128 24.6719596094793 0.0292101961646934 0.319735032742239 0.0913575091042394 0.927208523329816 0.999951245800057
ENSG00000008130 591.209569206651 0.0766041843675785 0.0912910326498925 0.839120581112944 0.401401647908164 0.999951245800057
ENSG00000008226 14.1136919141211 0.116200034031124 0.411043799510878 0.282695017342181 0.777410636103705 0.999951245800057
ENSG00000008256 645.545205458532 -0.012885866889913 0.0898643822635179 -0.143392371541893 0.885980307346151 0.999951245800057
ENSG00000008277 1867.61848447478 -0.0178761747319812 0.0851577429532863 -0.209918371624613 0.83373138320205 0.999951245800057
ENSG00000008282 48.110304878791 0.029490987812227 0.23944617013634 0.123163330595077 0.901977762385366 0.999951245800057
ENSG00000008283 474.983101806767 -0.0757840207750798 0.103233737698449 -0.734101297353473 0.462887002915309 0.999951245800057
ENSG00000008294 4519.31954018208 0.0118557014151303 0.0627448588721458 0.188950961532777 0.85013125137928 0.999951245800057
ENSG00000008300 5053.06516782946 0.00101494221270629 0.0657380513153114 0.01543918921232 0.987681798676779 0.999951245800057
ENSG00000008311 200.703076085084 -0.0680192080064933 0.130665055564285 -0.520561581769112 0.602672218176128 0.999951245800057
ENSG00000008324 119.072411554107 0.0167345190754787 0.173798035034732 0.0962871592428215 0.923292509139864 0.999951245800057
ENSG00000008382 294.860706163787 -0.0439278199392091 0.113362049433381 -0.387500227446257 0.698385916575832 0.999951245800057
ENSG00000008405 257.793127985691 0.025895465916823 0.11633302551721 0.222597717214808 0.823848613276983 0.999951245800057
ENSG00000008513 509.944092551441 0.0602680789475494 0.0989527112253088 0.609059400205043 0.542485067180121 0.999951245800057
ENSG00000008710 5425.40964387226 -0.010856224358425 0.0789858570346489 -0.137445167603394 0.89067893120605 0.999951245800057
ENSG00000008735 3617.06098033827 -0.0226178448947069 0.0706535918650617 -0.320123072269331 0.748875036096723 0.999951245800057
ENSG00000008838 1473.79732464139 0.0483919631966611 0.0780270684302963 0.620194557737241 0.53512970409089 0.999951245800057
ENSG00000008853 1732.12445905031 0.00616669564346246 0.0950096319770102 0.0649060049506837 0.948248839419048 0.999951245800057
ENSG00000008869 1422.77772481482 -0.055233648360761 0.0768203488353899 -0.718997624953712 0.472142383058639 0.999951245800057
ENSG00000008952 1054.18390129227 -0.00877113275575251 0.0967940026901247 -0.0906164897822475 0.927797328888548 0.999951245800057
ENSG00000008988 1474.18646303021 0.0777285516869176 0.0689041745381571 1.12806738064722 0.259291463782289 0.999951245800057
